donor_id,recency_days,typical_interval_hidden,frequency_365,time_months,days_until_eligible,overdue_days,days_to_next_donation,y_donate_30d
1182,37,56,6.5,54,19,0,,0
1488,3,69,5.3,29,53,0,78.0,0
3677,46,172,2.1,47,10,0,101.0,0
4468,47,56,6.5,6,9,0,3.0,1
1514,61,107,3.4,19,0,0,30.0,1
1215,249,256,1.4,50,0,0,1.0,1
2247,23,56,6.5,56,33,0,39.0,0
2124,6,104,3.5,25,50,0,98.0,0
1887,155,110,3.3,58,0,45,23.0,1
2607,31,168,2.2,10,25,0,,0
3402,59,56,6.5,36,0,3,18.0,1
1662,54,56,6.5,48,2,0,10.0,1
2743,106,136,2.7,51,0,0,19.0,1
4939,46,114,3.2,43,10,0,78.0,0
2736,30,109,3.3,10,26,0,52.0,0
4878,94,118,3.1,16,0,0,10.0,1
1825,45,56,6.5,15,11,0,,0
1529,62,108,3.4,49,0,0,29.0,1
1624,63,113,3.2,34,0,0,24.0,1
3229,4,56,6.5,46,52,0,40.0,0
3846,273,400,0.9,40,0,0,118.0,0
1485,165,131,2.8,54,0,34,5.0,1
3367,33,56,6.5,54,23,0,,0
4881,247,152,2.4,15,0,95,21.0,1
2060,24,56,6.5,1,32,0,,0
2134,163,168,2.2,56,0,0,18.0,1
3017,125,227,1.6,6,0,0,115.0,0
2774,24,56,6.5,52,32,0,,0
3664,226,194,1.9,59,0,32,,0
2861,76,125,2.9,19,0,0,,0
3915,44,173,2.1,43,12,0,133.0,0
3806,454,410,0.9,6,0,44,10.0,1
1205,38,73,5.0,51,18,0,45.0,0
4583,14,56,6.5,4,42,0,43.0,0
2384,19,56,6.5,10,37,0,,0
2367,42,56,6.5,56,14,0,,0
1352,76,84,4.3,43,0,0,13.0,1
3930,143,118,3.1,55,0,25,,0
2833,99,112,3.3,55,0,0,,0
1881,50,174,2.1,54,6,0,,0
2564,17,90,4.1,40,39,0,,0
1372,16,287,1.3,9,40,0,,0
4525,36,72,5.1,1,20,0,33.0,0
4714,107,730,0.5,51,0,0,626.0,0
3193,149,148,2.5,56,0,1,4.0,1
4924,89,56,6.5,17,0,33,27.0,1
2948,39,56,6.5,41,17,0,26.0,1
3611,53,132,2.8,28,3,0,91.0,0
4444,77,75,4.9,49,0,2,28.0,1
2065,199,159,2.3,12,0,40,15.0,1
4379,118,131,2.8,46,0,0,,0
4491,55,84,4.3,41,1,0,40.0,0
2246,30,56,6.5,39,26,0,,0
4975,20,56,6.5,16,36,0,21.0,1
3255,108,62,5.9,14,0,46,,0
2749,214,178,2.1,6,0,36,8.0,1
4198,68,106,3.4,47,0,0,42.0,0
3049,28,56,6.5,57,28,0,,0
1562,73,103,3.5,30,0,0,40.0,0
1910,170,122,3.0,45,0,48,2.0,1
2383,74,56,6.5,26,0,18,5.0,1
4088,108,101,3.6,20,0,7,26.0,1
2676,70,94,3.9,5,0,0,,0
3229,57,56,6.5,15,0,1,4.0,1
1383,22,119,3.1,58,34,0,,0
4298,202,140,2.6,31,0,62,20.0,1
3712,283,214,1.7,18,0,69,4.0,1
4785,56,209,1.7,13,0,0,,0
3156,74,56,6.5,43,0,18,10.0,1
1586,38,56,6.5,11,18,0,,0
2952,98,135,2.7,44,0,0,35.0,0
1589,132,135,2.7,51,0,0,,0
2633,36,135,2.7,12,20,0,100.0,0
4221,358,730,0.5,55,0,0,390.0,0
4499,64,142,2.6,53,0,0,78.0,0
1643,226,223,1.6,56,0,3,18.0,1
1363,185,193,1.9,19,0,0,14.0,1
2177,161,151,2.4,19,0,10,,0
2664,74,69,5.3,1,0,5,7.0,1
4081,16,165,2.2,14,40,0,169.0,0
3659,10,56,6.5,17,46,0,1.0,1
1001,32,74,4.9,2,24,0,14.0,1
2564,53,61,6.0,39,3,0,11.0,1
3968,50,96,3.8,57,6,0,,0
4542,551,573,0.6,38,0,0,16.0,1
3037,65,56,6.5,21,0,9,3.0,1
1380,52,155,2.4,20,4,0,104.0,0
1989,73,56,6.5,52,0,17,,0
1827,31,61,6.0,23,25,0,17.0,1
4160,86,215,1.7,30,0,0,138.0,0
1780,46,94,3.9,1,10,0,,0
4751,15,56,6.5,6,41,0,9.0,1
3721,110,56,6.5,15,0,54,8.0,1
4874,20,155,2.4,17,36,0,145.0,0
1509,55,56,6.5,36,1,0,4.0,1
2614,121,107,3.4,26,0,14,4.0,1
3598,9,93,3.9,54,47,0,72.0,0
3601,23,56,6.5,59,33,0,15.0,1
4027,487,500,0.7,2,0,0,28.0,1
4306,18,149,2.4,48,38,0,,0
2237,58,56,6.5,53,0,2,,0
2816,77,104,3.5,45,0,0,39.0,0
2677,11,56,6.5,11,45,0,20.0,1
4410,197,178,2.1,43,0,19,4.0,1
1621,15,56,6.5,48,41,0,43.0,0
1597,30,82,4.5,10,26,0,48.0,0
2238,69,134,2.7,4,0,0,44.0,0
4840,212,179,2.0,19,0,33,,0
1508,85,56,6.5,26,0,29,16.0,1
1422,103,68,5.4,54,0,35,,0
4869,36,61,6.0,39,20,0,,0
2668,52,56,6.5,18,4,0,22.0,1
2757,131,369,1.0,44,0,0,,0
1454,88,124,2.9,22,0,0,,0
2469,18,56,6.5,42,38,0,41.0,0
3300,105,187,2.0,29,0,0,,0
4788,117,491,0.7,15,0,0,,0
1158,1,205,1.8,44,55,0,,0
4206,21,56,6.5,33,35,0,20.0,1
4198,41,61,6.0,42,15,0,,0
1757,76,248,1.5,11,0,0,169.0,0
1284,13,56,6.5,59,43,0,69.0,0
2074,198,128,2.9,20,0,70,16.0,1
3008,199,167,2.2,27,0,32,1.0,1
1716,83,56,6.5,54,0,27,,0
4311,29,85,4.3,51,27,0,,0
2908,47,56,6.5,15,9,0,,0
2016,60,56,6.5,57,0,4,,0
3126,42,73,5.0,3,14,0,51.0,0
4250,77,56,6.5,16,0,21,7.0,1
2885,188,332,1.1,28,0,0,,0
1966,4,56,6.5,52,52,0,,0
1836,55,63,5.8,53,1,0,31.0,0
3061,87,99,3.7,48,0,0,15.0,1
1093,226,285,1.3,42,0,0,32.0,0
2046,10,56,6.5,15,46,0,,0
4151,180,228,1.6,40,0,0,49.0,0
3391,126,90,4.1,26,0,36,,0
4626,17,56,6.5,34,39,0,11.0,1
3615,207,130,2.8,36,0,77,13.0,1
2428,52,105,3.5,27,4,0,53.0,0
4178,65,56,6.5,14,0,9,12.0,1
1925,83,95,3.8,50,0,0,3.0,1
3507,94,66,5.5,3,0,28,16.0,1
3804,17,98,3.7,3,39,0,65.0,0
1364,27,152,2.4,23,29,0,112.0,0
3471,172,320,1.1,5,0,0,132.0,0
1093,27,56,6.5,2,29,0,,0
4173,409,495,0.7,38,0,0,87.0,0
2557,95,56,6.5,36,0,39,,0
1385,79,79,4.6,2,0,0,12.0,1
1918,118,144,2.5,51,0,0,,0
2641,161,112,3.3,15,0,49,25.0,1
4286,48,56,6.5,2,8,0,26.0,1
3517,65,76,4.8,36,0,0,28.0,1
3237,22,60,6.1,28,34,0,33.0,0
4613,89,56,6.5,14,0,33,22.0,1
1154,158,177,2.1,12,0,0,27.0,1
3017,23,119,3.1,30,33,0,96.0,0
2482,91,56,6.5,35,0,35,23.0,1
1732,155,184,2.0,8,0,0,24.0,1
1036,74,115,3.2,32,0,0,16.0,1
3373,259,172,2.1,20,0,87,,0
3575,14,148,2.5,42,42,0,147.0,0
4195,10,56,6.5,51,46,0,44.0,0
3067,15,57,6.4,15,41,0,28.0,1
3889,40,163,2.2,14,16,0,107.0,0
1941,140,146,2.5,26,0,0,28.0,1
2893,64,88,4.1,25,0,0,31.0,0
4300,96,98,3.7,57,0,0,28.0,1
3426,25,250,1.5,19,31,0,200.0,0
2353,47,56,6.5,20,9,0,13.0,1
2771,181,139,2.6,55,0,42,25.0,1
4480,102,76,4.8,51,0,26,21.0,1
2338,123,75,4.9,26,0,48,,0
3773,101,216,1.7,57,0,0,128.0,0
2695,216,174,2.1,32,0,42,14.0,1
3704,87,172,2.1,23,0,0,76.0,0
2241,136,255,1.4,14,0,0,119.0,0
1463,3,91,4.0,22,53,0,,0
3441,116,155,2.4,30,0,0,45.0,0
2168,68,70,5.2,28,0,0,17.0,1
3945,46,116,3.1,38,10,0,,0
3625,65,81,4.5,40,0,0,16.0,1
4100,29,97,3.8,57,27,0,73.0,0
3285,33,144,2.5,30,23,0,110.0,0
2914,34,56,6.5,51,22,0,,0
1643,360,480,0.8,3,0,0,,0
4357,40,56,6.5,56,16,0,7.0,1
2212,31,56,6.5,35,25,0,29.0,1
4001,251,227,1.6,4,0,24,24.0,1
3251,220,169,2.2,55,0,51,18.0,1
1161,229,148,2.5,39,0,81,,0
2357,155,148,2.5,34,0,7,16.0,1
2175,35,89,4.1,45,21,0,64.0,0
1855,70,56,6.5,11,0,14,,0
4322,127,95,3.8,13,0,32,,0
2617,103,56,6.5,2,0,47,24.0,1
2560,178,196,1.9,36,0,0,,0
1344,69,80,4.6,53,0,0,16.0,1
1104,11,56,6.5,30,45,0,59.0,0
3328,60,69,5.3,16,0,0,,0
4803,178,125,2.9,54,0,53,3.0,1
1157,69,57,6.4,32,0,12,23.0,1
1950,33,56,6.5,15,23,0,13.0,1
1600,85,109,3.3,23,0,0,18.0,1
1919,37,109,3.3,47,19,0,74.0,0
4065,15,60,6.1,35,41,0,56.0,0
3279,3,61,6.0,45,53,0,,0
4966,105,108,3.4,17,0,0,3.0,1
1422,30,56,6.5,18,26,0,20.0,1
1204,71,56,6.5,32,0,15,22.0,1
1769,46,56,6.5,16,10,0,3.0,1
4745,91,75,4.9,1,0,16,11.0,1
3575,114,115,3.2,14,0,0,,0
4247,102,293,1.2,2,0,0,,0
3199,229,178,2.1,6,0,51,5.0,1
4201,71,79,4.6,26,0,0,2.0,1
1476,82,88,4.1,55,0,0,28.0,1
4110,82,56,6.5,44,0,26,17.0,1
1358,116,88,4.1,8,0,28,25.0,1
2232,6,71,5.1,24,50,0,59.0,0
4514,106,116,3.1,58,0,0,50.0,0
4734,92,56,6.5,39,0,36,,0
1523,82,136,2.7,50,0,0,23.0,1
4148,287,306,1.2,43,0,0,13.0,1
3628,115,82,4.5,31,0,33,25.0,1
3190,132,124,2.9,57,0,8,22.0,1
2524,182,156,2.3,21,0,26,6.0,1
1059,54,65,5.6,20,2,0,,0
3367,52,107,3.4,2,4,0,38.0,0
1897,118,90,4.1,43,0,28,,0
1965,145,97,3.8,40,0,48,11.0,1
4903,39,56,6.5,58,17,0,,0
3211,58,91,4.0,20,0,0,34.0,0
2238,11,134,2.7,49,45,0,126.0,0
3316,378,287,1.3,22,0,91,9.0,1
3817,171,193,1.9,13,0,0,36.0,0
1887,573,503,0.7,59,0,70,4.0,1
2796,78,56,6.5,20,0,22,5.0,1
4111,221,180,2.0,44,0,41,,0
2471,44,104,3.5,55,12,0,,0
2062,608,518,0.7,31,0,90,26.0,1
1674,7,56,6.5,23,49,0,60.0,0
2976,20,56,6.5,26,36,0,53.0,0
2576,69,56,6.5,43,0,13,,0
3220,7,56,6.5,53,49,0,,0
1161,58,59,6.2,30,0,0,,0
4986,10,56,6.5,45,46,0,48.0,0
4306,111,101,3.6,9,0,10,10.0,1
1381,190,118,3.1,39,0,72,,0
2753,168,403,0.9,42,0,0,246.0,0
1809,8,192,1.9,53,48,0,169.0,0
2898,97,56,6.5,32,0,41,3.0,1
3064,7,56,6.5,44,49,0,60.0,0
2136,26,133,2.7,40,30,0,,0
3082,35,56,6.5,12,21,0,,0
2227,414,389,0.9,12,0,25,,0
2186,54,231,1.6,27,2,0,187.0,0
1356,67,61,6.0,46,0,6,27.0,1
1261,23,56,6.5,26,33,0,16.0,1
2459,46,265,1.4,43,10,0,218.0,0
3121,79,82,4.5,14,0,0,19.0,1
3858,136,242,1.5,14,0,0,97.0,0
1406,43,56,6.5,11,13,0,11.0,1
4794,50,56,6.5,34,6,0,5.0,1
3163,104,90,4.1,54,0,14,,0
2194,2,93,3.9,8,54,0,,0
2460,5,62,5.9,39,51,0,,0
4655,34,148,2.5,15,22,0,93.0,0
2608,4,56,6.5,4,52,0,,0
4522,68,80,4.6,1,0,0,8.0,1
3912,114,99,3.7,35,0,15,21.0,1
2217,118,135,2.7,53,0,0,2.0,1
1417,151,159,2.3,6,0,0,1.0,1
2489,84,56,6.5,51,0,28,17.0,1
2690,44,56,6.5,2,12,0,11.0,1
4568,197,250,1.5,47,0,0,37.0,0
1747,34,117,3.1,19,22,0,82.0,0
4738,94,56,6.5,31,0,38,4.0,1
1447,378,311,1.2,53,0,67,22.0,1
3854,10,98,3.7,19,46,0,,0
2211,312,231,1.6,56,0,81,21.0,1
1208,95,95,3.8,23,0,0,,0
2096,219,468,0.8,9,0,0,258.0,0
1095,293,366,1.0,19,0,0,,0
4990,129,73,5.0,13,0,56,,0
4051,213,195,1.9,8,0,18,,0
3893,152,150,2.4,57,0,2,14.0,1
2546,133,269,1.4,28,0,0,,0
4075,11,56,6.5,27,45,0,29.0,1
1050,68,155,2.4,56,0,0,,0
4365,238,209,1.7,53,0,29,18.0,1
1562,76,56,6.5,38,0,20,19.0,1
2583,37,56,6.5,42,19,0,31.0,0
4875,68,56,6.5,9,0,12,13.0,1
4352,7,72,5.1,15,49,0,81.0,0
1132,169,159,2.3,46,0,10,10.0,1
1841,43,299,1.2,34,13,0,238.0,0
4652,51,95,3.8,25,5,0,29.0,1
2896,181,331,1.1,1,0,0,,0
2361,23,56,6.5,11,33,0,19.0,1
1886,13,56,6.5,15,43,0,32.0,0
2046,37,86,4.2,26,19,0,,0
1485,18,122,3.0,47,38,0,,0
4597,85,87,4.2,38,0,0,21.0,1
4763,17,56,6.5,33,39,0,46.0,0
1086,60,83,4.4,49,0,0,1.0,1
4964,15,56,6.5,35,41,0,61.0,0
2071,77,153,2.4,46,0,0,73.0,0
2890,137,120,3.0,27,0,17,24.0,1
2848,85,56,6.5,52,0,29,11.0,1
1672,89,59,6.2,12,0,30,7.0,1
4877,20,56,6.5,20,36,0,,0
3496,129,85,4.3,12,0,44,14.0,1
1517,45,193,1.9,58,11,0,,0
2684,24,56,6.5,58,32,0,30.0,1
4098,4,134,2.7,37,52,0,125.0,0
2348,21,58,6.3,6,35,0,,0
1474,101,56,6.5,20,0,45,6.0,1
2529,57,82,4.5,23,0,0,,0
1491,48,56,6.5,15,8,0,16.0,1
1645,2,57,6.4,28,54,0,46.0,0
1807,9,56,6.5,34,47,0,,0
1152,349,433,0.8,8,0,0,94.0,0
3546,16,92,4.0,20,40,0,64.0,0
3884,53,56,6.5,6,3,0,19.0,1
1701,127,106,3.4,26,0,21,27.0,1
1078,105,82,4.5,49,0,23,15.0,1
4117,65,75,4.9,18,0,0,27.0,1
2455,159,147,2.5,14,0,12,11.0,1
3469,17,165,2.2,20,39,0,118.0,0
4644,78,58,6.3,42,0,20,19.0,1
4664,123,56,6.5,45,0,67,23.0,1
4344,19,72,5.1,57,37,0,10.0,1
3607,57,56,6.5,49,0,1,,0
4104,29,56,6.5,1,27,0,19.0,1
1529,113,268,1.4,23,0,0,,0
4107,44,335,1.1,58,12,0,284.0,0
4893,109,73,5.0,40,0,36,,0
2922,130,142,2.6,16,0,0,6.0,1
2112,9,115,3.2,45,47,0,102.0,0
2890,247,730,0.5,39,0,0,452.0,0
1876,55,220,1.7,19,1,0,184.0,0
4731,39,81,4.5,8,17,0,,0
3659,43,56,6.5,24,13,0,22.0,1
1874,37,56,6.5,53,19,0,,0
3078,55,105,3.5,44,1,0,48.0,0
4092,24,56,6.5,56,32,0,,0
2663,22,56,6.5,16,34,0,28.0,1
3404,47,56,6.5,13,9,0,27.0,1
4361,21,56,6.5,50,35,0,41.0,0
3789,297,347,1.1,57,0,0,,0
2208,180,182,2.0,30,0,0,13.0,1
3724,85,89,4.1,13,0,0,,0
3816,395,294,1.2,21,0,101,27.0,1
4640,102,95,3.8,19,0,7,27.0,1
1310,42,56,6.5,27,14,0,5.0,1
4742,404,304,1.2,38,0,100,,0
3582,101,138,2.6,44,0,0,27.0,1
4690,34,56,6.5,38,22,0,10.0,1
4685,40,77,4.7,51,16,0,,0
3416,14,56,6.5,23,42,0,,0
1330,68,56,6.5,16,0,12,,0
1998,218,188,1.9,46,0,30,18.0,1
3863,350,414,0.9,24,0,0,49.0,0
4475,41,56,6.5,44,15,0,2.0,1
1356,1,141,2.6,50,55,0,,0
4974,40,56,6.5,16,16,0,3.0,1
3146,34,60,6.1,49,22,0,11.0,1
3689,14,56,6.5,16,42,0,32.0,0
1250,40,56,6.5,11,16,0,20.0,1
4808,22,93,3.9,26,34,0,,0
1295,12,56,6.5,16,44,0,2.0,1
3455,22,111,3.3,41,34,0,74.0,0
3406,38,86,4.2,15,18,0,43.0,0
3669,8,74,4.9,58,48,0,63.0,0
2032,65,56,6.5,18,0,9,,0
1633,46,56,6.5,40,10,0,4.0,1
3346,145,164,2.2,18,0,0,2.0,1
2888,148,134,2.7,58,0,14,4.0,1
4634,2,56,6.5,35,54,0,,0
1724,50,97,3.8,5,6,0,23.0,1
1973,88,164,2.2,2,0,0,86.0,0
1561,2,56,6.5,30,54,0,60.0,0
2366,46,139,2.6,31,10,0,83.0,0
4275,3,56,6.5,25,53,0,,0
2173,110,142,2.6,43,0,0,56.0,0
3651,49,56,6.5,31,7,0,,0
1602,50,56,6.5,19,6,0,,0
2033,7,56,6.5,55,49,0,42.0,0
2233,50,93,3.9,34,6,0,,0
3007,161,110,3.3,18,0,51,,0
3754,96,56,6.5,39,0,40,,0
4459,18,150,2.4,48,38,0,149.0,0
2053,82,56,6.5,33,0,26,22.0,1
2492,116,85,4.3,45,0,31,19.0,1
3197,61,56,6.5,3,0,5,,0
3139,15,56,6.5,18,41,0,38.0,0
1712,90,93,3.9,36,0,0,5.0,1
1363,73,56,6.5,52,0,17,21.0,1
1296,92,66,5.5,26,0,26,16.0,1
2512,57,201,1.8,28,0,0,157.0,0
4727,21,56,6.5,32,35,0,,0
3999,11,175,2.1,49,45,0,149.0,0
3532,65,56,6.5,37,0,9,,0
1580,16,137,2.7,7,40,0,141.0,0
1653,56,285,1.3,28,0,0,226.0,0
4507,14,56,6.5,32,42,0,20.0,1
2037,30,56,6.5,41,26,0,,0
1686,49,142,2.6,36,7,0,94.0,0
3831,69,76,4.8,22,0,0,8.0,1
3406,122,121,3.0,9,0,1,28.0,1
3602,69,56,6.5,17,0,13,,0
2603,111,96,3.8,10,0,15,2.0,1
3814,126,79,4.6,27,0,47,3.0,1
1932,116,229,1.6,17,0,0,126.0,0
3701,47,110,3.3,32,9,0,,0
2064,103,117,3.1,56,0,0,23.0,1
1086,32,64,5.7,44,24,0,19.0,1
1840,16,60,6.1,42,40,0,64.0,0
4479,16,63,5.8,11,40,0,33.0,0
2098,54,123,3.0,45,2,0,65.0,0
4090,20,64,5.7,25,36,0,54.0,0
3002,152,113,3.2,17,0,39,,0
4851,576,473,0.8,27,0,103,26.0,1
2838,212,180,2.0,58,0,32,20.0,1
4681,4,69,5.3,55,52,0,68.0,0
3187,270,235,1.6,15,0,35,11.0,1
1130,73,64,5.7,5,0,9,24.0,1
1925,37,56,6.5,43,19,0,16.0,1
4257,42,56,6.5,56,14,0,15.0,1
2390,102,56,6.5,13,0,46,,0
4245,24,67,5.4,59,32,0,47.0,0
3226,107,91,4.0,6,0,16,,0
1866,18,344,1.1,42,38,0,338.0,0
4598,111,116,3.1,20,0,0,,0
1810,3,75,4.9,3,53,0,,0
3453,59,174,2.1,28,0,0,,0
2288,72,56,6.5,3,0,16,22.0,1
3395,6,108,3.4,33,50,0,,0
3908,84,166,2.2,2,0,0,139.0,0
4110,44,56,6.5,57,12,0,7.0,1
1230,187,224,1.6,37,0,0,29.0,1
3534,63,118,3.1,29,0,0,,0
1976,82,64,5.7,14,0,18,,0
2347,131,149,2.4,7,0,0,22.0,1
1056,387,553,0.7,44,0,0,,0
4523,40,104,3.5,4,16,0,49.0,0
2286,68,109,3.3,50,0,0,48.0,0
4585,93,62,5.9,21,0,31,5.0,1
3101,39,56,6.5,25,17,0,,0
3468,33,174,2.1,9,23,0,168.0,0
3001,37,56,6.5,12,19,0,32.0,0
4483,102,95,3.8,12,0,7,21.0,1
1058,18,61,6.0,56,38,0,30.0,1
3477,83,132,2.8,5,0,0,45.0,0
3494,17,117,3.1,29,39,0,101.0,0
2442,276,206,1.8,27,0,70,9.0,1
1866,52,59,6.2,39,4,0,,0
2906,5,72,5.1,49,51,0,86.0,0
4165,32,56,6.5,20,24,0,,0
4284,68,63,5.8,29,0,5,,0
4641,23,121,3.0,55,33,0,95.0,0
4800,174,164,2.2,19,0,10,14.0,1
3700,44,56,6.5,36,12,0,6.0,1
3886,210,180,2.0,33,0,30,5.0,1
4973,90,266,1.4,8,0,0,172.0,0
3259,127,125,2.9,30,0,2,13.0,1
3860,355,404,0.9,34,0,0,,0
1132,19,56,6.5,31,37,0,54.0,0
4237,79,56,6.5,58,0,23,19.0,1
3987,31,56,6.5,1,25,0,49.0,0
2255,414,297,1.2,35,0,117,10.0,1
3072,22,151,2.4,19,34,0,88.0,0
2873,19,86,4.2,55,37,0,,0
4031,74,112,3.3,46,0,0,43.0,0
4470,22,56,6.5,18,34,0,48.0,0
1711,775,636,0.6,55,0,139,20.0,1
4916,81,99,3.7,46,0,0,,0
1934,46,98,3.7,17,10,0,62.0,0
1047,242,160,2.3,42,0,82,23.0,1
3099,216,132,2.8,31,0,84,11.0,1
3107,138,107,3.4,20,0,31,13.0,1
3520,3,56,6.5,56,53,0,62.0,0
1790,30,131,2.8,29,26,0,97.0,0
2476,35,405,0.9,39,21,0,,0
3867,147,264,1.4,43,0,0,117.0,0
2877,249,321,1.1,21,0,0,98.0,0
3798,57,59,6.2,55,0,0,5.0,1
4861,29,56,6.5,9,27,0,,0
4608,95,81,4.5,30,0,14,8.0,1
3230,68,94,3.9,33,0,0,9.0,1
