date,hospital_id,dow,weekend,month,holiday,temp_c,rain_mm,flu_index,trauma_cases,scheduled_surgeries,donation_campaign,supply_shock,blood_type,stock_start,units_collected,units_used,wastage,stock_end,critical_stock,stockout_next_day,heavy_demand,heavy_demand_next_day
2020-02-18,Central,5,1,2,0,27.08851028511696,1.7795275485806306,0.657105610918592,4,11,0,1,A+,0,2,5,0,0,1,1,0,0
2020-02-19,Central,6,1,2,0,24.729742152066965,2.7940924031961614,0.5167531157990053,8,12,0,0,A+,0,2,8,0,0,1,1,0,1
2020-02-20,Central,0,0,2,0,27.900238703308563,18.305628464901964,0.5730139870345194,7,22,0,0,A+,0,8,12,0,0,1,1,1,0
2020-02-21,Central,1,0,2,0,27.707448096340723,5.568412276775816,0.6141916891709552,7,18,0,0,A+,0,5,8,0,0,1,1,0,0
2020-02-22,Central,2,0,2,0,19.91264632074097,8.050676768901344,0.5428900140770813,4,24,0,0,A+,0,2,6,0,0,1,1,0,0
2020-02-23,Central,3,0,2,0,28.4497823158283,7.129636572684535,0.5582941665090172,5,21,0,0,A+,0,4,7,0,0,1,1,0,0
2020-02-24,Central,4,0,2,0,25.874878186596245,9.09621963102312,0.5338635962466484,2,20,0,0,A+,0,5,9,0,0,1,1,0,0
2020-02-25,Central,5,1,2,0,25.95614931452636,1.3316213561806254,0.6839338897153079,5,12,0,1,A+,0,2,5,0,0,1,1,0,0
2020-02-26,Central,6,1,2,0,26.119651098589102,1.0242487530304902,0.6548599228219729,7,11,0,0,A+,0,3,6,0,0,1,1,0,0
2020-02-27,Central,0,0,2,0,23.92314486868646,6.193028854389246,0.6438991055091301,2,25,1,0,A+,0,4,10,0,0,1,1,0,0
2020-02-28,Central,1,0,2,0,21.177432447499704,9.423514089350231,0.518350158438933,1,25,0,0,A+,0,3,5,0,0,1,1,0,0
2020-03-01,Central,2,0,3,0,25.937920444870898,1.5963851643261309,0.5760588236891795,8,22,0,0,A+,0,6,10,0,0,1,0,0,0
2020-03-02,Central,3,0,3,0,27.788766938254927,0.3816178388571084,0.5555046432920699,6,20,0,0,A+,0,7,6,0,1,1,0,0,0
2020-03-03,Central,4,0,3,0,27.15527676393009,0.8981258959565949,0.5936216348914553,7,17,0,0,A+,1,6,4,0,3,1,1,0,1
2020-03-04,Central,5,1,3,0,28.04792442872907,0.3791895899558172,0.6796561108719938,8,8,0,0,A+,3,3,11,0,0,1,1,1,0
2020-03-05,Central,6,1,3,0,27.67619954540141,3.462196974602409,0.6202307851975919,5,5,0,0,A+,0,2,10,0,0,1,1,0,1
2020-03-06,Central,0,0,3,0,24.28917075058849,4.314212321108292,0.5905911315659903,8,24,0,1,A+,0,0,11,0,0,1,1,1,0
2020-03-07,Central,1,0,3,0,32.016139111943566,4.339861534693537,0.5925361080277206,5,19,0,0,A+,0,1,8,0,0,1,1,0,0
2020-03-08,Central,2,0,3,0,27.388175166601176,5.379021085385353,0.6269266501284347,4,20,0,0,A+,0,3,10,0,0,1,1,0,1
2020-03-09,Central,3,0,3,0,29.44285017865188,0.8442828015462491,0.5532100692053599,2,22,0,0,A+,0,6,14,0,0,1,1,1,0
2020-03-10,Central,4,0,3,0,22.52142176875105,4.152279001343348,0.5917263909140293,6,23,0,0,A+,0,5,10,0,0,1,1,0,0
2020-03-11,Central,5,1,3,0,23.20835297241743,1.722162738974968,0.5673289098196219,6,10,0,0,A+,0,3,6,0,0,1,1,0,0
2020-03-12,Central,6,1,3,0,31.48725015549765,2.215416251772516,0.5819654840617521,4,10,0,0,A+,0,4,9,0,0,1,1,0,0
2020-03-13,Central,0,0,3,0,30.45632977035789,12.626300060751513,0.7090742969668559,6,19,0,0,A+,0,1,8,0,0,1,1,0,1
2020-03-14,Central,1,0,3,0,27.795606199592747,4.2234389948816,0.6932246028437741,4,22,0,0,A+,0,3,11,0,0,1,1,1,1
2020-03-15,Central,2,0,3,0,29.863819649672493,6.411932612924371,0.6231487325565689,6,21,0,0,A+,0,8,12,0,0,1,1,1,1
2020-03-16,Central,3,0,3,0,31.113435875995314,2.585019404832768,0.5998464117458923,5,16,0,0,A+,0,5,11,0,0,1,1,1,0
2020-03-17,Central,4,0,3,0,30.034951719483274,4.336029045686107,0.5915054455501939,7,21,0,0,A+,0,8,8,0,0,1,0,0,0
2020-03-18,Central,5,1,3,0,29.597703306809287,5.830456939806186,0.48765847215274,12,9,0,0,A+,0,6,3,0,3,1,1,0,0
2020-03-19,Central,6,1,3,0,25.967920546385788,2.785700727186907,0.6002394632959964,4,5,0,0,A+,3,2,9,0,0,1,1,0,0
2020-03-20,Central,0,0,3,0,23.68348631789036,1.3060589637529056,0.6041738654926027,2,21,0,0,A+,0,4,7,0,0,1,1,0,0
2020-03-21,Central,1,0,3,0,29.38933370817929,0.1470889115758417,0.5996293622220523,4,18,0,0,A+,0,5,6,0,0,1,1,0,1
2020-03-22,Central,2,0,3,0,26.480018391018703,8.176336414268725,0.5236166546295342,9,19,0,0,A+,0,4,11,0,0,1,1,1,0
2020-03-23,Central,3,0,3,0,24.45427715952715,12.91777194948803,0.6328937534412771,6,19,0,0,A+,0,2,4,0,0,1,1,0,1
2020-03-24,Central,4,0,3,0,31.531163716052905,3.906328427229487,0.5108306429545658,4,28,0,0,A+,0,4,11,0,0,1,1,1,0
2020-03-25,Central,5,1,3,0,28.54616938333827,3.638905851269296,0.6049533186943967,6,9,0,0,A+,0,3,9,0,0,1,0,0,0
2020-03-26,Central,6,1,3,0,26.312741576015515,11.000565014952228,0.6395645324258282,6,11,0,0,A+,0,5,3,0,2,1,0,0,0
2020-03-27,Central,0,0,3,0,31.225528937600693,8.387535823097776,0.5782660493050166,4,19,0,0,A+,2,10,6,1,5,1,1,0,1
2020-03-28,Central,1,0,3,0,29.103789363728293,4.2120990240297616,0.5811336510260118,3,19,0,0,A+,5,5,15,0,0,1,0,1,0
2020-03-29,Central,2,0,3,0,27.32933169059625,2.0577474713105235,0.5868049779683024,6,14,0,0,A+,0,4,3,0,1,1,1,0,1
2020-03-30,Central,3,0,3,0,29.71893191045384,6.321217472752284,0.681523495459341,6,20,0,0,A+,1,4,14,0,0,1,1,1,0
2020-03-31,Central,4,0,3,0,24.453750564141664,1.068618071450084,0.5796313464187176,5,19,0,0,A+,0,2,9,0,0,1,1,0,0
2020-04-01,Central,5,1,4,0,27.70768393918444,0.9280729364552756,0.1219835320765218,7,9,0,0,A+,0,6,6,0,0,1,1,0,0
2020-04-02,Central,6,1,4,0,28.912849881529063,4.708522294152488,0.3725423112480842,5,6,0,0,A+,0,1,6,0,0,1,1,0,0
2020-04-03,Central,0,0,4,0,24.69027665115397,1.7192904650055958,0.2418082634711122,3,27,0,0,A+,0,2,7,0,0,1,0,0,0
2020-04-04,Central,1,0,4,0,26.76875844078155,2.345079918937988,0.0378633332064638,2,16,0,0,A+,0,6,4,0,2,1,1,0,0
2020-04-05,Central,2,0,4,0,31.21031934432773,4.006226685910263,0.1779282403756339,5,16,0,0,A+,2,3,8,0,0,1,0,0,0
2020-04-06,Central,3,0,4,0,22.261953859832843,3.030287834337031,0.1865979335633668,2,24,0,0,A+,0,7,5,0,2,1,1,0,0
2020-04-07,Central,4,0,4,0,32.17070634603489,1.6367807254102733,0.2554389300840871,7,17,0,0,A+,2,2,7,0,0,1,1,0,1
2020-04-08,Central,5,1,4,0,27.85077478399862,10.164053036542953,0.3299469065979591,9,13,0,0,A+,0,2,11,0,0,1,1,1,0
2020-04-09,Central,6,1,4,0,26.37114665108428,2.86098132411019,0.3796056247308841,5,9,0,0,A+,0,1,9,0,0,1,1,0,0
2020-04-10,Central,0,0,4,0,27.8527453742388,11.866762689162584,0.263576523611425,7,17,0,0,A+,0,4,5,0,0,1,1,0,0
2020-04-11,Central,1,0,4,0,21.5237496496756,4.713307998775576,0.229911792957047,5,22,0,0,A+,0,4,4,0,0,1,1,0,0
2020-04-12,Central,2,0,4,0,29.27882683769993,10.766931274390972,0.2800835495698089,5,20,0,0,A+,0,2,3,0,0,1,0,0,0
2020-04-13,Central,3,0,4,0,23.86661025032012,2.491156437024494,0.0997608987227273,5,22,0,0,A+,0,10,5,0,5,1,0,0,0
2020-04-14,Central,4,0,4,0,25.81550597964922,4.0618257784653045,0.2078627686443033,4,19,1,0,A+,5,6,6,0,5,1,1,0,0
2020-04-15,Central,5,1,4,0,24.54955477839675,3.817199401578012,0.2872942129757848,7,7,0,0,A+,5,3,7,1,0,1,1,0,0
2020-04-16,Central,6,1,4,0,31.067583668056965,7.42939471465587,0.1288196179365168,12,3,0,0,A+,0,4,9,0,0,1,1,0,0
2020-04-17,Central,0,0,4,0,24.99403973611737,3.7657162688274655,0.1962470381056258,2,14,0,0,A+,0,5,8,0,0,1,1,0,0
2020-04-18,Central,1,0,4,0,27.21638151364725,4.572679830532604,0.3446024593402126,1,18,0,0,A+,0,8,9,0,0,1,1,0,1
2020-04-19,Central,2,0,4,0,28.272299525723263,4.852127929070204,0.2910559848861744,6,23,0,0,A+,0,6,12,0,0,1,1,1,1
2020-04-20,Central,3,0,4,0,27.04710969597289,2.2914762055455355,0.3620949020027116,5,19,0,0,A+,0,2,11,0,0,1,1,1,0
2020-04-21,Central,4,0,4,0,23.45691360650805,3.460251524255688,0.2148009836376233,4,16,0,0,A+,0,6,9,0,0,1,1,0,0
2020-04-22,Central,5,1,4,0,28.22383649892385,14.191844146261833,0.2254747502970353,9,10,0,0,A+,0,4,5,0,0,1,1,0,0
2020-04-23,Central,6,1,4,0,25.315282234829027,4.168752615275935,0.253220520160037,5,9,0,0,A+,0,2,6,0,0,1,1,0,0
2020-04-24,Central,0,0,4,0,26.99142310304656,1.9044439423995163,0.2859982673077238,6,21,0,0,A+,0,4,6,0,0,1,1,0,0
2020-04-25,Central,1,0,4,0,27.28825839796137,1.47638118404549,0.2217108206709084,7,21,0,0,A+,0,1,3,0,0,1,1,0,0
2020-04-26,Central,2,0,4,0,22.021368214337084,2.689666757092318,0.2605877205122138,3,15,0,0,A+,0,6,6,0,0,1,1,0,0
2020-04-27,Central,3,0,4,0,30.511632698928995,2.0598660381690066,0.1485588866524802,6,13,0,0,A+,0,2,5,0,0,1,1,0,0
2020-04-28,Central,4,0,4,0,27.94512899171682,6.192735201090821,0.4107004308948111,8,24,0,0,A+,0,3,10,0,0,1,1,0,0
2020-04-29,Central,5,1,4,0,25.101508152755063,4.48568317019513,0.1246353399811649,6,11,0,0,A+,0,1,4,0,0,1,1,0,0
2020-04-30,Central,6,1,4,0,27.395273631538963,1.1718225966784002,0.1747823032859426,7,9,0,0,A+,0,3,4,0,0,1,1,0,0
2020-05-01,Central,0,0,5,1,27.052791393402124,3.7952479527575687,0.2377579299035029,5,11,0,0,A+,0,6,7,0,0,1,1,0,1
2020-05-02,Central,1,0,5,0,23.38601253256019,2.373104492955965,0.2802376798395758,6,23,0,0,A+,0,6,17,0,0,1,0,1,0
2020-05-03,Central,2,0,5,0,30.23589880838569,4.334400719678555,0.2325852245252274,4,18,0,0,A+,0,10,5,0,5,1,0,0,0
2020-05-04,Central,3,0,5,0,22.32576450641868,3.726723118247624,0.29619220620154,7,23,0,0,A+,5,6,6,0,5,1,0,0,0
2020-05-05,Central,4,0,5,0,27.05870904763788,2.756064567575401,0.3367612128743973,8,15,0,0,A+,5,4,8,0,1,1,1,0,1
2020-05-06,Central,5,1,5,0,29.541360066204707,2.3619377377155817,0.2094717843223037,10,8,0,0,A+,1,2,13,0,0,1,1,1,0
2020-05-07,Central,6,1,5,0,24.798677725649604,3.4216436047658614,0.2725564693915325,10,4,0,0,A+,0,4,6,0,0,1,1,0,0
2020-05-08,Central,0,0,5,0,29.530017985119173,1.4478664170587383,0.2069347037710736,3,15,0,0,A+,0,3,7,0,0,1,1,0,0
2020-05-09,Central,1,0,5,0,26.822875736107807,0.6498168289296049,0.2127385468113538,2,16,0,0,A+,0,7,7,0,0,1,1,0,0
2020-05-10,Central,2,0,5,0,20.47934409150709,3.459885856556125,0.2137249361305125,6,17,0,0,A+,0,3,5,0,0,1,1,0,0
2020-05-11,Central,3,0,5,0,24.885804854667047,4.6840982601739904,0.3337852228859007,1,25,0,0,A+,0,1,6,0,0,1,1,0,1
2020-05-12,Central,4,0,5,0,23.76780558471994,1.6398712540497458,0.2530018585871679,7,17,0,0,A+,0,4,13,0,0,1,0,1,0
2020-05-13,Central,5,1,5,0,29.723065477579983,4.329213403806033,0.3036982409290959,5,7,0,0,A+,0,7,6,0,1,1,0,0,0
2020-05-14,Central,6,1,5,0,28.68622614556539,4.766794038828013,0.4314115363119404,5,5,0,0,A+,1,4,4,0,1,1,1,0,0
2020-05-15,Central,0,0,5,0,27.95047337319201,1.0311142255118455,0.2138892439228484,9,20,0,0,A+,1,3,6,0,0,1,1,0,0
2020-05-16,Central,1,0,5,0,27.469737847307066,7.267859025457638,0.1226389598206835,2,20,0,0,A+,0,3,6,0,0,1,1,0,0
2020-05-17,Central,2,0,5,0,21.023407806117923,2.03771412708452,0.2381542076361796,5,20,0,0,A+,0,6,6,0,0,1,1,0,0
2020-05-18,Central,3,0,5,0,25.55420907406361,2.9041629889074554,0.0937747575961401,3,18,0,0,A+,0,5,6,0,0,1,1,0,0
2020-05-19,Central,4,0,5,0,26.66573292760252,2.176820255849279,0.3115388966429702,7,22,0,0,A+,0,0,7,0,0,1,1,0,0
2020-05-20,Central,5,1,5,0,26.39086382889681,4.583887696949819,0.2675667941743955,5,4,0,0,A+,0,2,6,0,0,1,1,0,0
2020-05-21,Central,6,1,5,0,25.33302267271668,0.7864114764662752,0.3029102551913366,3,10,0,1,A+,0,2,4,0,0,1,1,0,0
2020-05-22,Central,0,0,5,0,27.75605065753717,3.9485552578883465,0.3024494448937106,4,19,0,0,A+,0,8,8,0,0,1,1,0,1
2020-05-23,Central,1,0,5,0,25.629501404474684,5.723081703767206,0.2007045808007444,6,22,0,0,A+,0,9,11,0,0,1,1,1,0
2020-05-24,Central,2,0,5,0,25.18658828139023,0.1540674407141973,0.1649152216452226,6,19,0,0,A+,0,4,5,0,0,1,1,0,1
2020-05-25,Central,3,0,5,0,25.9564498273362,1.788024466744888,0.2056342075487642,2,22,0,1,A+,0,4,12,0,0,1,1,1,0
2020-05-26,Central,4,0,5,0,25.081714524074545,1.7501064298735969,0.1875653236284439,5,23,0,0,A+,0,3,5,0,0,1,1,0,0
2020-05-27,Central,5,1,5,0,21.867177031404143,6.394790357708055,0.3403192880769614,6,7,0,0,A+,0,4,10,0,0,1,1,0,0
2020-05-28,Central,6,1,5,0,21.11302121451089,9.35723874456102,0.1570452474895929,7,6,0,0,A+,0,1,4,0,0,1,1,0,0
2020-05-29,Central,0,0,5,0,29.376097936924133,2.9487960809512264,0.1078881362926164,7,18,0,0,A+,0,3,9,0,0,1,1,0,0
2020-05-30,Central,1,0,5,0,22.421847717301265,4.255153898541905,0.2429108843797466,4,25,0,0,A+,0,7,7,0,0,1,0,0,0
2020-05-31,Central,2,0,5,0,19.40775617893025,3.4018465968284404,0.2890934819573846,5,20,0,0,A+,0,8,4,0,4,1,0,0,0
2020-06-01,Central,3,0,6,0,20.621717164254,3.939916808706615,0.2685328355389214,7,17,0,0,A+,4,6,8,0,2,1,1,0,0
2020-06-02,Central,4,0,6,0,20.39079829451268,6.835089972857109,0.1611255123827423,5,19,0,0,A+,2,6,8,0,0,1,1,0,0
2020-06-03,Central,5,1,6,0,25.23669977255792,4.226125724580011,0.1868010916905917,9,10,0,0,A+,0,2,7,0,0,1,1,0,0
2020-06-04,Central,6,1,6,0,25.50234233589413,1.7639402361507486,0.1705041698314813,7,10,0,0,A+,0,4,8,0,0,1,1,0,1
2020-06-05,Central,0,0,6,0,25.454513449059228,0.67395285364507,0.4785950738511892,8,19,0,0,A+,0,3,14,0,0,1,1,1,0
2020-06-06,Central,1,0,6,0,22.981214959410806,6.118537345580409,0.2924555150419786,2,13,0,0,A+,0,7,9,0,0,1,1,0,0
2020-06-07,Central,2,0,6,0,21.8543151783635,0.6141974174712512,0.2543002050392401,2,20,0,0,A+,0,3,9,0,0,1,1,0,0
2020-06-08,Central,3,0,6,0,25.7185123735205,5.336092552486474,0.2125618949340566,10,23,0,0,A+,0,2,3,0,0,1,1,0,0
2020-06-09,Central,4,0,6,0,21.251074006749576,5.315404256983972,0.2090350864544698,4,20,0,0,A+,0,0,9,0,0,1,1,0,0
2020-06-10,Central,5,1,6,0,24.13131274720927,2.180371091495828,0.2586027344042907,7,15,0,0,A+,0,5,8,0,0,1,1,0,0
2020-06-11,Central,6,1,6,0,25.450377737584965,3.061810957471159,0.2197568566614818,7,7,0,0,A+,0,4,5,0,0,1,1,0,0
2020-06-12,Central,0,0,6,0,20.851065957467124,1.3583254069597928,0.324925548468543,2,21,0,0,A+,0,1,9,0,0,1,1,0,0
2020-06-13,Central,1,0,6,0,23.0802762337856,4.664647309577965,0.1852437016722138,3,23,0,0,A+,0,5,6,0,0,1,0,0,0
2020-06-14,Central,2,0,6,0,25.50657909176589,1.2889401551475743,0.1819344302093845,4,20,0,0,A+,0,8,4,0,4,1,1,0,0
2020-06-15,Central,3,0,6,0,21.32333895939565,12.683419460959,0.1010012197900163,6,21,0,0,A+,4,2,10,0,0,1,1,0,0
2020-06-16,Central,4,0,6,0,22.21651797017484,3.272857094319274,0.2355754381720372,6,22,0,0,A+,0,4,5,0,0,1,1,0,0
2020-06-17,Central,5,1,6,0,23.0856576522659,4.700753368919297,0.3132314781572938,5,8,0,0,A+,0,4,4,0,0,1,1,0,0
2020-06-18,Central,6,1,6,0,22.08964200714507,1.2431605623315087,0.1864765166640917,5,10,0,0,A+,0,1,7,0,0,1,1,0,0
2020-06-19,Central,0,0,6,0,25.68089213730717,1.0235066014428242,0.2468720863026757,6,20,1,0,A+,0,3,5,0,0,1,1,0,0
2020-06-20,Central,1,0,6,0,19.72762515194496,2.660570479920012,0.1670734420104274,6,22,0,0,A+,0,3,8,0,0,1,1,0,0
2020-06-21,Central,2,0,6,0,19.492130182841024,3.1737664122234905,0.2882088583805416,5,15,0,0,A+,0,6,6,0,0,1,1,0,0
2020-06-22,Central,3,0,6,0,21.63571021399719,11.08797125759912,0.0912685421496803,5,21,0,0,A+,0,2,9,0,0,1,1,0,0
2020-06-23,Central,4,0,6,0,17.231768773150403,4.124817664410486,0.3462160645228916,4,17,1,0,A+,0,4,5,0,0,1,0,0,0
2020-06-24,Central,5,1,6,0,18.82128953244506,3.8707726605716894,0.4048304946823288,5,8,0,0,A+,0,6,3,0,3,1,1,0,0
2020-06-25,Central,6,1,6,0,20.18904247136929,3.986508860606283,0.2283682446323646,5,1,0,0,A+,3,0,6,0,0,1,1,0,0
2020-06-26,Central,0,0,6,0,23.2720866647296,1.0520879444969993,0.2708603507312934,0,17,0,0,A+,0,1,5,0,0,1,1,0,0
2020-06-27,Central,1,0,6,0,22.722132267811613,6.496899668542788,0.3683569715081754,2,21,0,0,A+,0,4,6,0,0,1,0,0,0
2020-06-28,Central,2,0,6,0,18.76912267732882,8.777453128627412,0.3021232496515167,7,23,0,0,A+,0,7,3,0,4,1,1,0,1
2020-06-29,Central,3,0,6,0,19.48046555481735,4.238865847406631,0.3684079362971132,2,21,0,0,A+,4,7,25,0,0,1,1,1,1
2020-06-30,Central,4,0,6,0,19.93665751341688,9.291816100434124,0.0548600289141907,6,17,0,0,A+,0,5,12,0,0,1,0,1,0
2020-07-01,Central,5,1,7,0,16.063993688933245,4.915258091876692,0.2464003833885595,6,8,0,0,A+,0,6,5,0,1,1,1,0,0
2020-07-02,Central,6,1,7,0,18.83321964026808,6.187065240340727,0.1941954234722953,8,13,0,0,A+,1,1,2,0,0,1,1,0,0
2020-07-03,Central,0,0,7,0,22.585715089802395,7.995312296753335,0.1994331341752871,5,19,0,0,A+,0,5,6,0,0,1,1,0,0
2020-07-04,Central,1,0,7,1,18.231123684782848,2.75658061114432,0.1282240579846857,6,10,0,0,A+,0,3,7,0,0,1,1,0,0
2020-07-05,Central,2,0,7,0,19.2114549373985,2.9857151288805697,0.1722704981589632,3,17,0,0,A+,0,3,7,0,0,1,1,0,0
2020-07-06,Central,3,0,7,0,18.060765505240155,1.8795221988175896,0.1837932607412271,4,13,0,0,A+,0,5,8,0,0,1,1,0,0
2020-07-07,Central,4,0,7,0,18.874822433887097,0.710530000888096,0.188073129201436,5,20,0,0,A+,0,4,7,0,0,1,1,0,0
2020-07-08,Central,5,1,7,0,19.215635739844256,0.1453397421397029,0.3109719393566948,5,8,0,0,A+,0,6,10,0,0,1,1,0,0
2020-07-09,Central,6,1,7,0,22.4321180559774,2.794170749486781,0.1938586442986574,8,9,0,0,A+,0,5,6,0,0,1,1,0,0
