donor_id,country_code,zone_id,center_distance_km,travel_time_min,transport_capacity_slots,transfer_cost_usd,route_feasibility_flag,cold_chain_quality_score,area_deprivation_index,area_education_index,area_language_mix
108,DE,DE-Z049,23.75,101,35,18.81,1,0.984,7,0.381,0.37
109,UG,UG-Z034,1.74,8,23,9.31,1,0.997,5,0.609,0.297
110,US,US-Z099,16.68,67,32,17.31,1,0.961,4,0.739,0.237
111,MX,MX-Z053,4.69,20,40,9.65,1,0.958,1,0.874,0.115
112,JP,JP-Z060,2.94,5,17,10.01,1,0.973,7,0.361,0.443
113,JP,JP-Z066,17.79,41,13,15.99,1,0.879,1,0.945,0.225
114,TR,TR-Z028,4.38,18,31,8.51,1,0.985,2,0.772,0.321
115,US,US-Z083,5.77,26,13,7.96,1,0.965,10,0.163,0.433
116,US,US-Z056,16.2,46,34,13.95,1,0.902,6,0.551,0.272
117,JP,JP-Z052,14.01,28,23,13.1,1,0.966,3,0.715,0.3
118,US,US-Z011,5.1,17,26,10.38,1,0.951,9,0.251,0.268
119,UG,UG-Z043,4.56,19,34,10.96,1,0.962,10,0.159,0.153
120,BR,BR-Z048,8.75,18,5,14.2,1,0.98,8,0.383,0.201
121,CN,CN-Z058,4.26,20,17,7.4,1,0.983,9,0.319,0.205
122,DE,DE-Z057,9.67,22,49,13.75,1,0.988,9,0.252,0.058
123,TR,TR-Z014,11.22,43,28,10.92,1,0.951,10,0.108,0.059
124,BR,BR-Z088,17.22,71,45,15.88,1,0.961,8,0.368,0.307
125,JP,JP-Z054,17.47,75,41,17.33,1,0.956,1,0.86,0.128
126,US,US-Z002,7.65,23,15,10.99,1,0.956,4,0.684,0.119
127,DE,DE-Z042,16.06,59,22,14.93,1,0.988,6,0.451,0.393
128,US,US-Z007,3.31,9,46,9.71,1,0.994,9,0.259,0.416
129,MX,MX-Z009,8.78,43,44,11.73,1,0.971,7,0.463,0.259
130,MX,MX-Z033,11.04,53,15,15.21,1,0.973,1,0.951,0.504
131,DE,DE-Z091,14.67,59,35,13.18,1,0.956,8,0.286,0.635
132,DE,DE-Z068,6.66,18,14,11.88,1,0.95,1,0.852,0.272
133,JP,JP-Z064,1.3,3,13,10.08,1,0.995,10,0.281,0.241
134,DE,DE-Z097,41.76,97,35,28.4,1,0.641,9,0.204,0.261
135,UG,UG-Z063,4.46,16,24,8.7,1,0.998,5,0.482,0.035
136,US,US-Z008,15.37,62,18,14.48,1,0.878,6,0.398,0.356
137,BR,BR-Z059,17.04,54,44,17.76,1,0.971,6,0.523,0.461
138,IN,IN-Z009,11.94,51,38,15.0,1,0.926,4,0.709,0.27
139,DE,DE-Z012,20.84,91,39,15.5,1,0.923,4,0.707,0.459
140,TR,TR-Z058,1.64,3,38,8.05,1,0.998,4,0.66,0.532
141,MX,MX-Z049,19.64,57,8,15.96,1,0.973,8,0.429,0.424
142,UG,UG-Z044,1.81,7,20,10.07,1,0.996,4,0.628,0.131
143,IN,IN-Z011,6.92,16,42,13.24,1,0.968,1,0.921,0.0
144,BR,BR-Z016,27.64,116,13,23.52,1,0.738,9,0.213,0.203
145,IN,IN-Z066,6.73,19,41,10.99,1,0.953,10,0.153,0.108
146,DE,DE-Z038,9.79,30,45,10.59,1,0.961,10,0.217,0.14
147,JP,JP-Z043,1.32,2,43,8.03,1,0.987,10,0.189,0.336
148,MX,MX-Z067,18.04,79,33,17.37,1,0.963,7,0.371,0.433
149,MX,MX-Z099,7.87,20,44,12.49,1,0.969,9,0.284,0.586
150,JP,JP-Z073,61.31,169,44,38.34,1,0.979,7,0.447,0.305
151,US,US-Z059,2.07,9,19,10.15,0,0.98,3,0.703,0.163
152,CN,CN-Z007,4.14,13,29,9.04,1,0.975,8,0.331,0.053
153,UG,UG-Z026,3.2,14,13,7.88,1,0.97,4,0.636,0.178
154,MX,MX-Z076,23.4,94,32,17.14,1,0.911,6,0.447,0.139
155,TR,TR-Z080,7.7,21,30,9.1,1,0.997,1,0.828,0.614
156,MX,MX-Z031,43.25,114,15,28.3,1,0.677,10,0.143,0.201
157,IN,IN-Z024,6.24,17,24,9.28,1,0.966,9,0.368,0.227
158,MX,MX-Z065,4.62,22,8,8.6,1,0.957,2,0.866,0.141
159,MX,MX-Z056,11.69,44,40,12.53,0,0.961,4,0.572,0.463
160,CN,CN-Z063,12.73,60,19,16.17,1,0.964,8,0.319,0.272
161,CN,CN-Z026,7.18,35,49,12.76,1,0.988,5,0.592,0.233
162,BR,BR-Z058,26.19,84,49,20.84,1,0.838,9,0.203,0.207
163,US,US-Z027,1.61,5,28,7.26,1,0.988,4,0.738,0.2
164,TR,TR-Z069,2.75,11,37,10.58,1,0.998,8,0.275,0.221
165,MX,MX-Z038,24.74,88,15,18.12,1,0.912,8,0.294,0.286
166,MX,MX-Z047,6.87,31,33,11.25,1,0.996,2,0.908,0.087
167,UG,UG-Z091,12.46,32,6,13.67,1,0.989,7,0.474,0.11
168,CN,CN-Z021,3.39,7,13,7.23,1,1.0,3,0.724,0.095
169,TR,TR-Z079,7.83,38,31,10.68,1,0.942,5,0.668,0.06
170,BR,BR-Z012,9.55,37,24,13.54,1,0.996,8,0.324,0.421
171,US,US-Z075,18.66,89,38,16.11,1,0.992,8,0.288,0.193
172,JP,JP-Z025,4.69,10,32,9.4,1,0.996,10,0.2,0.337
173,US,US-Z068,17.38,49,21,17.94,1,0.92,7,0.451,0.283
174,IN,IN-Z086,1.96,6,16,6.67,1,0.992,8,0.396,0.343
175,MX,MX-Z043,4.88,15,10,7.79,1,0.991,8,0.414,0.416
176,BR,BR-Z051,13.34,42,42,13.94,1,0.93,1,0.936,0.664
177,IN,IN-Z091,6.07,28,34,12.69,1,0.956,9,0.235,0.116
178,TR,TR-Z089,12.99,64,35,13.31,1,0.997,4,0.743,0.198
179,JP,JP-Z024,16.1,39,5,14.48,0,0.939,7,0.471,0.283
180,CN,CN-Z009,3.5,14,17,6.92,1,0.967,7,0.329,0.285
181,BR,BR-Z022,3.34,11,34,10.02,1,0.975,6,0.54,0.459
182,BR,BR-Z027,37.72,112,37,27.67,0,0.991,2,0.772,0.244
183,MX,MX-Z061,9.14,42,28,10.3,1,0.984,9,0.21,0.192
184,DE,DE-Z088,38.54,87,45,25.34,1,0.964,8,0.25,0.283
185,BR,BR-Z065,3.25,10,37,6.8,1,0.994,7,0.492,0.525
186,UG,UG-Z065,6.25,17,43,8.5,1,0.951,10,0.233,0.143
187,JP,JP-Z014,4.03,17,38,9.9,1,0.984,6,0.43,0.395
188,JP,JP-Z093,6.23,13,41,8.77,1,0.94,3,0.761,0.259
189,UG,UG-Z020,16.0,60,15,16.13,1,0.997,6,0.507,0.313
190,UG,UG-Z097,9.27,37,46,9.9,1,0.981,6,0.441,0.425
191,UG,UG-Z045,10.06,25,46,14.93,1,0.918,6,0.534,0.058
192,JP,JP-Z039,3.84,14,39,9.44,1,0.992,4,0.658,0.165
193,US,US-Z084,4.56,14,26,9.25,1,0.998,2,0.856,0.512
194,JP,JP-Z081,4.74,15,41,8.71,1,0.965,4,0.737,0.529
195,DE,DE-Z030,9.14,44,32,10.06,1,0.954,5,0.515,0.42
196,MX,MX-Z077,22.83,58,29,17.44,1,0.872,4,0.681,0.029
197,IN,IN-Z086,3.11,12,18,7.6,1,0.97,1,0.947,0.435
198,US,US-Z064,28.79,141,38,22.47,1,0.817,6,0.476,0.14
199,CN,CN-Z073,3.86,18,37,9.22,1,0.996,9,0.151,0.384
200,IN,IN-Z092,4.97,23,43,9.49,1,0.959,8,0.413,0.143
201,MX,MX-Z023,0.82,1,23,8.76,1,0.993,3,0.715,0.048
202,DE,DE-Z023,1.97,7,14,6.0,1,0.987,6,0.477,0.138
203,DE,DE-Z032,15.68,71,34,14.22,1,0.965,4,0.672,0.264
204,CN,CN-Z081,5.23,24,46,8.59,1,0.98,9,0.324,0.421
205,US,US-Z040,12.41,61,49,15.92,1,0.908,6,0.438,0.399
206,UG,UG-Z038,6.51,13,49,9.57,1,0.962,6,0.492,0.259
207,US,US-Z062,4.27,12,16,10.29,1,0.99,9,0.274,0.067
208,DE,DE-Z043,27.94,63,16,19.47,1,0.877,9,0.225,0.139
209,JP,JP-Z092,1.12,3,24,8.59,1,0.99,5,0.593,0.301
210,MX,MX-Z085,11.19,30,15,10.88,1,0.962,8,0.303,0.316
211,CN,CN-Z054,4.45,16,39,8.91,1,0.985,2,0.909,0.041
212,MX,MX-Z041,6.91,28,41,13.26,1,0.936,2,0.795,0.305
213,TR,TR-Z052,6.2,19,46,10.18,1,0.969,9,0.208,0.269
214,TR,TR-Z055,7.57,35,45,12.12,1,0.971,3,0.758,0.157
215,US,US-Z094,0.93,2,47,7.57,1,0.997,8,0.323,0.407
216,DE,DE-Z045,21.26,70,41,17.67,1,0.814,8,0.371,0.332
217,DE,DE-Z083,5.1,19,11,11.55,1,0.981,7,0.375,0.237
218,UG,UG-Z046,0.9,3,31,6.94,1,0.998,7,0.397,0.471
219,UG,UG-Z050,3.54,13,23,7.42,1,0.974,8,0.337,0.251
220,UG,UG-Z051,9.17,20,37,14.32,1,0.937,8,0.366,0.195
221,JP,JP-Z087,3.85,16,6,11.91,1,0.982,10,0.185,0.493
222,IN,IN-Z070,21.67,45,28,18.16,1,0.916,7,0.373,0.349
223,BR,BR-Z019,12.58,31,33,13.72,1,0.995,6,0.517,0.501
224,IN,IN-Z068,7.47,27,40,11.28,1,0.934,6,0.512,0.616
225,MX,MX-Z049,1.94,5,25,8.01,1,0.996,10,0.146,0.22
226,IN,IN-Z023,3.89,15,43,7.88,1,0.983,4,0.659,0.407
227,JP,JP-Z005,12.92,47,29,16.29,1,0.916,6,0.561,0.463
228,MX,MX-Z064,4.38,17,39,9.59,1,0.97,7,0.412,0.09
229,IN,IN-Z033,5.46,18,41,8.08,1,0.965,7,0.476,0.294
230,JP,JP-Z076,4.37,19,43,10.51,1,0.963,10,0.221,0.228
231,BR,BR-Z059,8.4,40,25,10.18,1,0.96,5,0.633,0.323
232,IN,IN-Z052,3.03,6,5,6.85,1,0.971,6,0.54,0.135
233,JP,JP-Z093,6.52,19,37,8.8,1,0.94,8,0.33,0.532
234,UG,UG-Z078,5.54,19,22,11.31,1,0.978,7,0.511,0.418
235,DE,DE-Z007,6.26,30,41,9.74,1,0.939,9,0.225,0.436
236,UG,UG-Z043,13.77,40,22,13.41,1,0.946,7,0.384,0.107
237,DE,DE-Z048,20.52,72,43,15.6,1,0.848,3,0.778,0.327
238,CN,CN-Z042,2.53,5,23,8.45,1,0.981,1,1.0,0.299
239,CN,CN-Z062,7.81,29,10,9.42,1,0.962,3,0.804,0.372
240,CN,CN-Z020,1.41,2,39,6.39,1,0.988,1,0.856,0.204
241,BR,BR-Z037,4.82,20,26,8.19,1,0.975,3,0.794,0.164
242,UG,UG-Z078,6.93,18,7,11.5,1,0.976,1,0.897,0.019
243,DE,DE-Z098,2.63,7,12,8.78,1,0.985,9,0.274,0.182
244,JP,JP-Z041,2.81,11,40,6.78,0,0.986,9,0.327,0.307
245,MX,MX-Z041,6.67,22,12,12.21,1,0.986,6,0.435,0.03
246,JP,JP-Z087,20.71,55,23,15.97,1,0.867,7,0.356,0.093
247,MX,MX-Z005,6.63,19,47,9.68,1,0.943,5,0.547,0.445
248,TR,TR-Z033,2.65,12,20,7.88,1,0.986,6,0.49,0.398
249,JP,JP-Z048,2.68,6,29,9.89,1,0.991,6,0.472,0.077
250,IN,IN-Z044,9.71,48,40,10.89,1,0.998,9,0.204,0.329
251,IN,IN-Z074,9.04,26,7,10.93,1,0.953,4,0.611,0.082
252,US,US-Z010,6.11,17,16,8.14,1,0.988,1,0.979,0.15
253,UG,UG-Z061,4.24,19,45,10.26,1,0.959,7,0.442,0.315
254,MX,MX-Z011,4.87,10,6,10.03,1,0.977,4,0.591,0.59
255,MX,MX-Z058,6.84,15,31,13.0,1,0.962,7,0.321,0.272
256,UG,UG-Z083,5.49,25,8,10.33,1,0.972,1,0.845,0.132
257,BR,BR-Z051,31.68,120,45,23.74,1,0.714,6,0.378,0.557
258,US,US-Z099,5.12,20,29,11.47,1,0.988,8,0.356,0.301
259,BR,BR-Z015,8.82,40,28,10.44,1,0.973,1,0.93,0.397
260,BR,BR-Z091,7.4,30,16,13.36,1,0.926,5,0.544,0.319
261,BR,BR-Z005,6.27,20,17,11.93,1,0.972,2,0.831,0.494
262,UG,UG-Z061,7.46,22,37,13.04,0,0.969,4,0.7,0.207
263,BR,BR-Z013,3.88,12,24,11.11,1,0.999,10,0.205,0.318
264,IN,IN-Z045,14.37,30,20,12.52,1,0.969,1,0.89,0.234
265,CN,CN-Z023,5.61,14,21,8.83,1,0.953,3,0.663,0.376
266,TR,TR-Z016,12.63,41,26,12.57,1,0.945,8,0.377,0.499
267,MX,MX-Z036,13.74,65,10,16.25,1,0.877,1,0.908,0.335
268,MX,MX-Z010,11.41,25,10,11.86,0,0.952,7,0.382,0.116
269,TR,TR-Z096,4.22,8,22,11.2,0,0.982,3,0.698,0.276
270,UG,UG-Z045,13.72,33,31,13.75,1,0.954,8,0.31,0.362
271,JP,JP-Z003,2.12,5,5,9.0,1,0.98,6,0.572,0.23
272,UG,UG-Z037,2.26,9,34,10.49,1,0.986,3,0.79,0.169
273,MX,MX-Z008,6.64,26,32,12.47,1,0.997,6,0.519,0.28
274,MX,MX-Z001,13.53,64,48,15.87,1,0.951,2,0.83,0.042
275,TR,TR-Z083,19.45,55,32,18.1,1,0.924,5,0.625,0.19
276,BR,BR-Z072,14.53,30,10,13.94,1,0.99,6,0.561,0.084
277,UG,UG-Z087,8.51,26,32,12.81,1,0.929,3,0.773,0.187
278,DE,DE-Z065,8.37,38,6,9.71,1,0.954,2,0.837,0.324
279,TR,TR-Z030,28.26,118,17,19.4,1,0.733,7,0.406,0.209
280,IN,IN-Z068,1.31,5,21,6.23,1,0.994,1,0.905,0.482
281,MX,MX-Z085,3.93,13,25,7.86,1,0.991,3,0.706,0.408
282,TR,TR-Z085,2.6,6,48,9.66,1,0.983,6,0.446,0.209
283,UG,UG-Z037,8.11,40,35,12.68,1,0.948,5,0.632,0.166
284,MX,MX-Z084,16.18,34,45,13.61,1,0.852,7,0.512,0.214
285,JP,JP-Z028,13.53,46,24,12.15,1,0.892,4,0.604,0.21
286,TR,TR-Z089,9.71,47,45,10.44,1,0.958,8,0.326,0.536
287,US,US-Z097,3.55,9,11,8.01,1,0.976,4,0.676,0.103
288,MX,MX-Z055,36.68,160,27,26.11,1,0.791,6,0.489,0.347
289,UG,UG-Z062,21.29,84,24,16.27,1,0.827,3,0.806,0.713
290,CN,CN-Z015,19.18,67,6,16.97,1,0.91,5,0.58,0.239
291,DE,DE-Z097,11.89,56,10,15.36,1,0.971,4,0.67,0.14
292,BR,BR-Z067,7.33,29,8,9.23,1,0.946,7,0.458,0.35
293,UG,UG-Z016,13.25,39,20,13.89,1,0.935,7,0.356,0.366
294,IN,IN-Z043,5.8,27,28,8.04,1,0.943,1,0.987,0.197
295,IN,IN-Z090,8.02,22,44,12.63,1,0.969,7,0.47,0.185
296,CN,CN-Z093,6.04,17,33,11.25,1,0.946,7,0.427,0.353
297,BR,BR-Z021,5.26,13,15,9.31,1,0.964,4,0.678,0.56
298,US,US-Z095,9.32,31,28,10.51,1,0.948,8,0.392,0.064
299,CN,CN-Z096,9.34,31,41,14.19,1,0.942,7,0.437,0.088
300,CN,CN-Z072,11.72,44,45,12.52,1,0.98,5,0.557,0.276
301,MX,MX-Z043,11.11,51,37,15.37,1,0.89,1,0.92,0.291
302,IN,IN-Z007,3.98,10,28,11.8,1,0.964,2,0.817,0.473
303,MX,MX-Z007,4.2,18,47,9.43,1,0.966,5,0.639,0.319
304,DE,DE-Z053,15.33,61,16,14.98,1,0.857,10,0.126,0.077
305,BR,BR-Z058,12.67,54,28,12.81,1,0.882,9,0.284,0.238
306,US,US-Z092,24.87,115,20,17.88,0,0.89,4,0.719,0.232
307,US,US-Z019,16.22,48,18,14.76,1,0.958,7,0.396,0.085
308,UG,UG-Z027,12.59,43,28,15.81,1,0.968,8,0.295,0.371
309,CN,CN-Z020,6.22,28,25,8.37,1,0.976,4,0.634,0.157
310,DE,DE-Z031,11.59,47,6,15.33,1,0.982,1,0.864,0.158
311,IN,IN-Z002,9.8,23,35,10.43,1,0.908,8,0.338,0.118
312,US,US-Z085,3.92,16,26,8.9,1,0.999,3,0.885,0.538
313,DE,DE-Z061,12.97,30,48,13.08,1,0.915,8,0.386,0.105
314,JP,JP-Z098,14.54,60,10,16.08,1,0.978,9,0.239,0.296
315,JP,JP-Z059,7.52,37,48,13.06,1,0.993,2,0.757,0.377
316,MX,MX-Z031,19.74,40,36,17.25,1,0.99,1,0.877,0.311
317,IN,IN-Z074,9.16,27,22,10.27,1,0.999,4,0.643,0.392
318,UG,UG-Z056,14.59,47,15,16.2,1,0.928,2,0.838,0.426
319,US,US-Z069,2.9,8,38,8.47,1,1.0,5,0.603,0.189
320,CN,CN-Z036,5.21,19,15,9.04,1,0.954,8,0.369,0.167
321,CN,CN-Z030,44.61,95,42,28.96,1,0.879,5,0.573,0.17
322,US,US-Z023,9.57,38,8,10.21,1,0.987,6,0.473,0.074
323,BR,BR-Z039,18.37,65,26,18.29,1,0.966,9,0.222,0.225
324,UG,UG-Z073,5.94,19,7,11.91,1,0.978,5,0.63,0.347
325,DE,DE-Z084,11.81,38,26,12.63,1,0.963,3,0.708,0.202
326,BR,BR-Z099,5.42,19,43,11.74,1,0.985,5,0.56,0.032
327,BR,BR-Z070,8.87,30,13,13.14,1,0.967,10,0.125,0.413
328,MX,MX-Z037,38.54,176,37,27.23,1,0.854,9,0.241,0.231
329,JP,JP-Z066,7.64,18,18,10.29,1,0.985,4,0.662,0.046
330,BR,BR-Z059,4.64,20,9,12.14,1,0.956,10,0.086,0.205
331,BR,BR-Z082,4.94,12,15,10.16,0,0.988,5,0.57,0.242
332,TR,TR-Z069,5.92,13,39,10.48,1,0.942,9,0.276,0.423
333,MX,MX-Z014,8.78,25,13,11.9,1,0.964,5,0.626,0.196
334,IN,IN-Z083,3.34,7,43,7.2,1,0.994,9,0.281,0.356
335,TR,TR-Z051,14.58,35,33,15.17,0,0.995,5,0.62,0.235
336,TR,TR-Z010,12.86,28,8,14.53,1,0.986,7,0.397,0.313
337,US,US-Z049,1.51,5,35,6.96,1,0.985,6,0.56,0.607
338,JP,JP-Z053,29.02,135,47,19.71,1,0.949,4,0.77,0.431
339,BR,BR-Z053,4.53,14,40,10.32,1,0.98,3,0.726,0.355
340,JP,JP-Z096,1.16,5,21,7.09,0,0.999,6,0.521,0.243
341,UG,UG-Z089,11.21,45,12,15.3,1,0.989,10,0.124,0.582
342,US,US-Z046,22.21,92,31,18.77,1,0.895,9,0.29,0.161
343,IN,IN-Z097,14.37,70,14,12.34,1,0.864,4,0.675,0.218
344,JP,JP-Z059,3.55,10,49,9.75,0,0.98,9,0.305,0.254
345,CN,CN-Z065,26.97,112,31,22.04,1,0.966,7,0.417,0.316
346,UG,UG-Z099,21.64,79,31,18.01,1,0.859,10,0.243,0.862
347,MX,MX-Z054,2.56,12,21,9.1,1,0.996,5,0.636,0.295
